Category: All categories

Month,people analytics: (Worldwide),hr analytics: (Worldwide)
2007-01,0,0
2007-02,8,0
2007-03,0,0
2007-04,0,0
2007-05,10,0
2007-06,0,0
2007-07,4,7
2007-08,23,5
2007-09,12,0
2007-10,0,7
2007-11,21,0
2007-12,9,12
2008-01,0,7
2008-02,0,4
2008-03,7,3
2008-04,21,6
2008-05,8,9
2008-06,0,4
2008-07,0,8
2008-08,0,0
2008-09,0,0
2008-10,6,7
2008-11,4,0
2008-12,10,15
2009-01,11,7
2009-02,16,14
2009-03,13,7
2009-04,22,11
2009-05,13,13
2009-06,10,8
2009-07,14,4
2009-08,18,4
2009-09,13,7
2009-10,15,10
2009-11,24,12
2009-12,12,10
2010-01,15,0
2010-02,13,11
2010-03,17,11
2010-04,10,3
2010-05,20,3
2010-06,15,9
2010-07,17,11
2010-08,15,11
2010-09,16,6
2010-10,14,14
2010-11,14,4
2010-12,22,7
2011-01,20,7
2011-02,15,10
2011-03,18,11
2011-04,20,16
2011-05,16,12
2011-06,21,6
2011-07,16,13
2011-08,19,7
2011-09,19,15
2011-10,21,9
2011-11,22,9
2011-12,19,11
2012-01,25,11
2012-02,18,13
2012-03,21,11
2012-04,26,21
2012-05,23,10
2012-06,24,12
2012-07,24,14
2012-08,24,9
2012-09,22,15
2012-10,21,13
2012-11,18,14
2012-12,18,13
2013-01,30,17
2013-02,22,19
2013-03,20,20
2013-04,30,14
2013-05,27,19
2013-06,23,20
2013-07,27,23
2013-08,24,20
2013-09,25,18
2013-10,26,23
2013-11,29,24
2013-12,22,17
2014-01,29,24
2014-02,28,24
2014-03,25,21
2014-04,29,27
2014-05,25,23
2014-06,22,23
2014-07,26,19
2014-08,22,24
2014-09,27,26
2014-10,32,29
2014-11,26,25
2014-12,26,22
2015-01,26,24
2015-02,27,30
2015-03,29,32
2015-04,30,37
2015-05,28,28
2015-06,30,27
2015-07,30,31
2015-08,27,38
2015-09,32,37
2015-10,27,35
2015-11,28,30
2015-12,25,25
2016-01,30,30
2016-02,38,38
2016-03,37,36
2016-04,39,39
2016-05,39,35
2016-06,35,38
2016-07,33,31
2016-08,32,37
2016-09,35,42
2016-10,40,42
2016-11,41,41
2016-12,33,30
2017-01,43,42
2017-02,51,44
2017-03,50,49
2017-04,40,43
2017-05,43,49
2017-06,36,49
2017-07,46,41
2017-08,40,45
2017-09,42,57
2017-10,42,54
2017-11,46,56
2017-12,35,44
2018-01,40,54
2018-02,46,53
2018-03,49,54
2018-04,51,51
2018-05,45,55
2018-06,38,52
2018-07,47,59
2018-08,42,56
2018-09,52,56
2018-10,47,51
2018-11,45,53
2018-12,38,51
2019-01,45,55
2019-02,55,58
2019-03,53,62
2019-04,58,60
2019-05,53,56
2019-06,56,54
2019-07,53,64
2019-08,57,59
2019-09,62,69
2019-10,54,59
2019-11,53,67
2019-12,47,56
2020-01,54,63
2020-02,53,73
2020-03,52,49
2020-04,63,52
2020-05,67,58
2020-06,71,58
2020-07,68,64
2020-08,62,58
2020-09,67,68
2020-10,54,53
2020-11,50,50
2020-12,55,52
2021-01,53,58
2021-02,54,52
2021-03,61,57
2021-04,66,56
2021-05,60,59
2021-06,58,64
2021-07,57,57
2021-08,54,58
2021-09,59,64
2021-10,53,54
2021-11,59,67
2021-12,54,58
2022-01,75,68
2022-02,90,70
2022-03,100,72
2022-04,80,73
2022-05,79,75
2022-06,76,74
2022-07,74,67
