id,cons
0,Poor Compensation and bonus null
1,A lot of pressure in the job
2,progression is too set in stone
3,Poor work life balance and pressures
4,"Limit on bonus, not so great pension benefits as compared to other companies"
5,Progression can be quite strictly regimented
6,The pay is relatively low
7,"Gruelling path to progression
Long hours and high expectations"
8,"Salary relative to peers, less community"
9,Lowest pay on the street
10,clients can be very rude at times
11,Nothing of significance to point out.
12,No comment here - not applicable
13,Some projects can be very intense with long hours
14,It is hard work and might feel like a lot of you are not used to it or not fully engaged
15,"Lower salaries
Harder to make director/partner than before"
16,Pay could be higher bonus is low
17,"- poor salary
- long unpaid overtime 
- people are fake"
18,"No boundaries, impossible expectations on client delivery and practice development"
19,"No work life balance
Pay not commensurate with workload"
20,"Promotions for minorities (African Americans) to Senior Middle Management is sparse, however with the recently intensified BLM movement, the DE&I program has been amped up in attempts to correct the disparity."
21,#NAME?
22,There are none. Great company
23,Long hours in busy periods
24,"They ask a lot of employees, so the stress burden of each employee depends on how passionate they are about the actual work."
25,tough culture but good opportunities
26,"eventually, it gets rather boring"
27,SLOW to promote unless your are favoured
28,no cons from me here
29,Very structured career progression opportunities
30,Lack of transparency re internal mobility
31,Working hours can be longer due to the deadlines creating a pressured environment
32,relatively low salary to start with
33,"Can be long hours
client variety can vary depending on the department
little is really done for the mental health"
34,pays below other big 4
35,"Can require long hours in certain profiles, very fast paced"
36,Long hours and bad life/work balance.
37,long working hours and lack of visibility
38,"- Benefit allowance could be better
- Bonuses leave a lot to be desired
- Pay not as competitive as other Big4 however... the culture mainly / development opportunities are a notch above the rest I believe, having friends of similar grade in those firms."
39,"Lack of bonus and pay rise since Brexit/Covid
Salary is slightly lower than competitors"
40,long hours and pressure from tight deadlines
41,The hours on the job were long
42,#NAME?
43,"-Very rigid structure from A-C grade
hard to take on meaningful responsibility at early stages of your career, almost bubble wrapped"
44,Audit can be tedious at times
45,"terrible work culture, demanding and lacks employee benefit"
46,There is a steep learning curve and the work is very hard.
47,"Little guidance when starting - expected to hit the ground running
High staff turnover
Long working hours when on projects"
48,"Pay can sometimes be on the lower side, no bonus"
49,Long hours and high workload
50,nothing negative to report at this point in time
51,"Work-life balance, pay, partner politics, covid response"
52,"- work balance
- long hours"
