from,to,weight
Career Development & Growth Opportunities,Promotion & Succession,2
Work Life Balance,"Workload, Stress & Exhaustion",28
Career Development & Growth Opportunities,Performance Management,1
Career Development & Growth Opportunities,"Workload, Stress & Exhaustion",5
Performance Management,"Workload, Stress & Exhaustion",9
Compensation & Benefits,Team Climate,1
Company Climate,"Workload, Stress & Exhaustion",4
Career Development & Growth Opportunities,Compensation & Benefits,17
Compensation & Benefits,"Workload, Stress & Exhaustion",63
Compensation & Benefits,Workplace Harassment,2
"Workload, Stress & Exhaustion",Workplace Harassment,3
Performance Management,Unclear Expectations,2
Compensation & Benefits,Work Life Balance,16
"Workload, Stress & Exhaustion",Workplace Safety,1
Organizational Processes Efficiency,"Workload, Stress & Exhaustion",12
Communication,"Workload, Stress & Exhaustion",1
Career Development & Growth Opportunities,Company Structure & Organization,1
Compensation & Benefits,Workplace Culture,8
"Workload, Stress & Exhaustion",Workplace Culture,4
Employee Training & Development,Quality of Work,1
Employee Onboarding,Employee Turnover,1
Employee Onboarding,"Workload, Stress & Exhaustion",1
Employee Turnover,"Workload, Stress & Exhaustion",2
Company Climate,Compensation & Benefits,4
Company Climate,Work Life Balance,2
Career Development & Growth Opportunities,Company Strategy,8
Career Development & Growth Opportunities,Management Practices,1
Career Development & Growth Opportunities,Role Conflicts,1
Company Strategy,Compensation & Benefits,24
Company Strategy,Management Practices,4
Company Strategy,Role Conflicts,1
Compensation & Benefits,Management Practices,7
Compensation & Benefits,Role Conflicts,2
Management Practices,Role Conflicts,1
Employee Training & Development,Resource Allocation Efficiency,2
Employee Training & Development,"Workload, Stress & Exhaustion",4
Resource Allocation Efficiency,"Workload, Stress & Exhaustion",3
Bureaucracy & Administrative Excess,"Workload, Stress & Exhaustion",7
Bureaucracy & Administrative Excess,"Company Brand, Prestige & Reputation",1
"Company Brand, Prestige & Reputation","Workload, Stress & Exhaustion",5
Management Practices,"Workload, Stress & Exhaustion",5
Compensation & Benefits,Organizational Processes Efficiency,5
Compensation & Benefits,Performance Management,7
Compensation & Benefits,Recognition,7
Organizational Processes Efficiency,Performance Management,1
Organizational Processes Efficiency,Recognition,2
Performance Management,Recognition,2
Meaningfulness of Work,"Workload, Stress & Exhaustion",5
Communication,Employee Training & Development,1
Company Structure & Organization,Relationship With Peers & Colleagues,5
Company Structure & Organization,"Workload, Stress & Exhaustion",4
Company Strategy,Performance Management,3
Management Practices,Performance Management,1
Leadership & Higher Management,Workplace Culture,1
Company Strategy,Resource Allocation Efficiency,2
Company Strategy,"Workload, Stress & Exhaustion",10
Compensation & Benefits,Employee Turnover,2
Recognition,Respect to Employees,1
Recognition,"Workload, Stress & Exhaustion",4
Respect to Employees,"Workload, Stress & Exhaustion",1
Employee Onboarding,Leadership & Higher Management,1
Management Practices,Workplace Culture,6
Company Strategy,Company Structure & Organization,2
Employee Training & Development,Flexible Work Arrangements,2
Flexible Work Arrangements,"Workload, Stress & Exhaustion",12
Compensation & Benefits,Promotion & Succession,3
Company Structure & Organization,Compensation & Benefits,4
Company Structure & Organization,Recognition,1
Company Structure & Organization,Work Life Balance,2
Recognition,Work Life Balance,3
"Company Brand, Prestige & Reputation",Compensation & Benefits,5
"Company Brand, Prestige & Reputation",Promotion & Succession,2
Promotion & Succession,"Workload, Stress & Exhaustion",1
Relationship With Peers & Colleagues,"Workload, Stress & Exhaustion",5
Communication,Workplace Safety,1
Career Development & Growth Opportunities,Innovativeness,2
Career Development & Growth Opportunities,Staffing & Recruitment,4
Innovativeness,Staffing & Recruitment,1
Relationship With Direct Manager,"Workload, Stress & Exhaustion",1
Compensation & Benefits,Leadership & Higher Management,2
Leadership & Higher Management,"Workload, Stress & Exhaustion",2
Company Climate,Employee Training & Development,1
Company Climate,Management Practices,1
Company Climate,Relationship With Direct Manager,1
Company Climate,Support & Resources,1
Company Climate,Workplace Harassment,1
Compensation & Benefits,Employee Training & Development,3
Compensation & Benefits,Relationship With Direct Manager,2
Compensation & Benefits,Support & Resources,2
Employee Training & Development,Management Practices,1
Employee Training & Development,Relationship With Direct Manager,1
Employee Training & Development,Support & Resources,1
Employee Training & Development,Workplace Harassment,1
Management Practices,Relationship With Direct Manager,1
Management Practices,Support & Resources,1
Management Practices,Workplace Harassment,1
Relationship With Direct Manager,Support & Resources,1
Relationship With Direct Manager,Workplace Harassment,3
Support & Resources,Workplace Harassment,1
Bureaucracy & Administrative Excess,Company Structure & Organization,2
Bureaucracy & Administrative Excess,Relationship With Peers & Colleagues,3
"Diversity, Equity, and Inclusion",Psychological Safety,1
"Diversity, Equity, and Inclusion",Staffing & Recruitment,1
"Diversity, Equity, and Inclusion",Workplace Culture,3
Psychological Safety,Staffing & Recruitment,1
Psychological Safety,Workplace Culture,1
Staffing & Recruitment,Workplace Culture,2
Management Practices,Organizational Processes Efficiency,1
Management Practices,Unclear Expectations,2
Organizational Processes Efficiency,Unclear Expectations,2
Relationship With Peers & Colleagues,Staffing & Recruitment,1
Relationship With Peers & Colleagues,Support & Resources,1
Relationship With Peers & Colleagues,Workplace Culture,3
Staffing & Recruitment,Support & Resources,1
Support & Resources,Workplace Culture,1
Recognition,Relationship With Peers & Colleagues,1
Bureaucracy & Administrative Excess,Company Climate,2
Company Innovativeness,"Workload, Stress & Exhaustion",1
Organization of Work,Organizational Processes Efficiency,1
Company Innovativeness,Company Strategy,3
Company Innovativeness,Management Practices,2
Company Innovativeness,Variability of Work,2
Company Innovativeness,Workplace Culture,2
Company Strategy,Variability of Work,2
Company Strategy,Workplace Culture,3
Management Practices,Variability of Work,2
Variability of Work,Workplace Culture,2
Compensation & Benefits,Meaningfulness of Work,5
"Company Brand, Prestige & Reputation",Management Practices,2
"Company Brand, Prestige & Reputation",Workplace Culture,5
Bureaucracy & Administrative Excess,Organizational Processes Efficiency,3
Bureaucracy & Administrative Excess,Working Tools & Equipment,1
Organizational Processes Efficiency,Working Tools & Equipment,2
Company Climate,Company Strategy,3
Company Climate,Performance Management,2
Career Development & Growth Opportunities,Company Innovativeness,1
