id,cons,pain points
0,Poor Compensation and bonus null,poor compensation
0,Poor Compensation and bonus null,lack of bonuses
1,A lot of pressure in the job,pressure in the job
2,progression is too set in stone,progression is too rigid
2,progression is too set in stone,lack of flexibility in progression
3,Poor work life balance and pressures,poor work life balance
3,Poor work life balance and pressures,pressures
4,"Limit on bonus, not so great pension benefits as compared to other companies",limit on bonus
4,"Limit on bonus, not so great pension benefits as compared to other companies",poor pension benefits
5,Progression can be quite strictly regimented,strictly regimented progression
6,The pay is relatively low,low pay
7,"Gruelling path to progression
Long hours and high expectations",grueling path to progression
7,"Gruelling path to progression
Long hours and high expectations",long hours
7,"Gruelling path to progression
Long hours and high expectations",high expectations
8,"Salary relative to peers, less community",low salary compared to peers
8,"Salary relative to peers, less community",lack of community
9,Lowest pay on the street,lowest pay
10,clients can be very rude at times,rude clients
11,Nothing of significance to point out.,
12,No comment here - not applicable,
13,Some projects can be very intense with long hours,intense projects with long hours
14,It is hard work and might feel like a lot of you are not used to it or not fully engaged,hard work
14,It is hard work and might feel like a lot of you are not used to it or not fully engaged,lack of engagement
15,"Lower salaries
Harder to make director/partner than before",lower salaries
15,"Lower salaries
Harder to make director/partner than before",harder to become director/partner
16,Pay could be higher bonus is low,low pay
16,Pay could be higher bonus is low,low bonus
17,"- poor salary
- long unpaid overtime 
- people are fake",poor salary
17,"- poor salary
- long unpaid overtime 
- people are fake",long unpaid overtime
17,"- poor salary
- long unpaid overtime 
- people are fake",fake colleagues
18,"No boundaries, impossible expectations on client delivery and practice development",no clear boundaries
18,"No boundaries, impossible expectations on client delivery and practice development",impossible expectations on client delivery
18,"No boundaries, impossible expectations on client delivery and practice development",impossible expectations on practice development
19,"No work life balance
Pay not commensurate with workload",no work life balance
19,"No work life balance
Pay not commensurate with workload",low pay for workload
20,"Promotions for minorities (African Americans) to Senior Middle Management is sparse, however with the recently intensified BLM movement, the DE&I program has been amped up in attempts to correct the disparity.",sparse promotions for African American employees
21,#NAME?,too strict timing
22,There are none. Great company,
23,Long hours in busy periods,long hours in busy periods
24,"They ask a lot of employees, so the stress burden of each employee depends on how passionate they are about the actual work.",high stress burden due to frequent requests from management
25,tough culture but good opportunities,tough culture
26,"eventually, it gets rather boring",eventually becoming boring
27,SLOW to promote unless your are favoured,slow promotion process
27,SLOW to promote unless your are favoured,favoritism in promotions
28,no cons from me here,
29,Very structured career progression opportunities,lack of structured career progression opportunities
30,Lack of transparency re internal mobility,lack of transparency in internal mobility
31,Working hours can be longer due to the deadlines creating a pressured environment,longer working hours
31,Working hours can be longer due to the deadlines creating a pressured environment,pressured environment due to deadlines
32,relatively low salary to start with,relatively low starting salary
33,"Can be long hours
client variety can vary depending on the department
little is really done for the mental health",long hours
33,"Can be long hours
client variety can vary depending on the department
little is really done for the mental health",lack of support for mental health
34,pays below other big 4,pays below other big 4
35,"Can require long hours in certain profiles, very fast paced",long hours
35,"Can require long hours in certain profiles, very fast paced",fast-paced environment
36,Long hours and bad life/work balance.,long hours
36,Long hours and bad life/work balance.,bad life/work balance
37,long working hours and lack of visibility,long working hours
37,long working hours and lack of visibility,lack of visibility
38,"- Benefit allowance could be better
- Bonuses leave a lot to be desired
- Pay not as competitive as other Big4 however... the culture mainly / development opportunities are a notch above the rest I believe, having friends of similar grade in those firms.",benefit allowance could be better
38,"- Benefit allowance could be better
- Bonuses leave a lot to be desired
- Pay not as competitive as other Big4 however... the culture mainly / development opportunities are a notch above the rest I believe, having friends of similar grade in those firms.",bonuses are not good enough
38,"- Benefit allowance could be better
- Bonuses leave a lot to be desired
- Pay not as competitive as other Big4 however... the culture mainly / development opportunities are a notch above the rest I believe, having friends of similar grade in those firms.",pay is not as competitive as other Big4
39,"Lack of bonus and pay rise since Brexit/Covid
Salary is slightly lower than competitors",lack of bonus since Brexit
39,"Lack of bonus and pay rise since Brexit/Covid
Salary is slightly lower than competitors",lack of pay rise since Covid
39,"Lack of bonus and pay rise since Brexit/Covid
Salary is slightly lower than competitors",lower salary than competitors
40,long hours and pressure from tight deadlines,long hours
40,long hours and pressure from tight deadlines,pressure from tight deadlines
41,The hours on the job were long,long hours on the job
42,#NAME?,lack of structured route for progression
42,#NAME?,unclear progression route
43,"-Very rigid structure from A-C grade
hard to take on meaningful responsibility at early stages of your career, almost bubble wrapped",very rigid structure from A-C grade
43,"-Very rigid structure from A-C grade
hard to take on meaningful responsibility at early stages of your career, almost bubble wrapped",lack of meaningful responsibility at early career stages
44,Audit can be tedious at times,tedious audit process
45,"terrible work culture, demanding and lacks employee benefit",terrible work culture
45,"terrible work culture, demanding and lacks employee benefit",demanding workload
45,"terrible work culture, demanding and lacks employee benefit",lacking employee benefits
46,There is a steep learning curve and the work is very hard.,steep learning curve
46,There is a steep learning curve and the work is very hard.,difficult work
47,"Little guidance when starting - expected to hit the ground running
High staff turnover
Long working hours when on projects",little guidance when starting
47,"Little guidance when starting - expected to hit the ground running
High staff turnover
Long working hours when on projects",high staff turnover
47,"Little guidance when starting - expected to hit the ground running
High staff turnover
Long working hours when on projects",long working hours when on projects
48,"Pay can sometimes be on the lower side, no bonus",lower pay
48,"Pay can sometimes be on the lower side, no bonus",no bonuses
49,Long hours and high workload,long hours
49,Long hours and high workload,high workload
50,nothing negative to report at this point in time,
51,"Work-life balance, pay, partner politics, covid response",poor work-life balance
51,"Work-life balance, pay, partner politics, covid response",low pay
51,"Work-life balance, pay, partner politics, covid response",partner politics
51,"Work-life balance, pay, partner politics, covid response",poor covid response
52,"- work balance
- long hours",work-life balance
52,"- work balance
- long hours",long hours
53,"Poor pay, non existent/low bonus, difficult to get promoted due to Covid impacting promotion numbers. Switching roles too often can impact utilisation. Try not to get stuck with a generalist consulting through and through average manager as ego can come into play and they may at times give you work you're overqualified for but you're expected to feel grateful for the opportunity . Some Partners aren't generating enough business - don't get tangled in their web, they gift you with lots of low priority/ non client work which may distract you into thinking you're being productive.",poor pay
53,"Poor pay, non existent/low bonus, difficult to get promoted due to Covid impacting promotion numbers. Switching roles too often can impact utilisation. Try not to get stuck with a generalist consulting through and through average manager as ego can come into play and they may at times give you work you're overqualified for but you're expected to feel grateful for the opportunity . Some Partners aren't generating enough business - don't get tangled in their web, they gift you with lots of low priority/ non client work which may distract you into thinking you're being productive.",non-existent/low bonus
53,"Poor pay, non existent/low bonus, difficult to get promoted due to Covid impacting promotion numbers. Switching roles too often can impact utilisation. Try not to get stuck with a generalist consulting through and through average manager as ego can come into play and they may at times give you work you're overqualified for but you're expected to feel grateful for the opportunity . Some Partners aren't generating enough business - don't get tangled in their web, they gift you with lots of low priority/ non client work which may distract you into thinking you're being productive.",difficulty getting promoted due to Covid
53,"Poor pay, non existent/low bonus, difficult to get promoted due to Covid impacting promotion numbers. Switching roles too often can impact utilisation. Try not to get stuck with a generalist consulting through and through average manager as ego can come into play and they may at times give you work you're overqualified for but you're expected to feel grateful for the opportunity . Some Partners aren't generating enough business - don't get tangled in their web, they gift you with lots of low priority/ non client work which may distract you into thinking you're being productive.",frequent role switching impacting utilization
53,"Poor pay, non existent/low bonus, difficult to get promoted due to Covid impacting promotion numbers. Switching roles too often can impact utilisation. Try not to get stuck with a generalist consulting through and through average manager as ego can come into play and they may at times give you work you're overqualified for but you're expected to feel grateful for the opportunity . Some Partners aren't generating enough business - don't get tangled in their web, they gift you with lots of low priority/ non client work which may distract you into thinking you're being productive.",working with overqualified managers
53,"Poor pay, non existent/low bonus, difficult to get promoted due to Covid impacting promotion numbers. Switching roles too often can impact utilisation. Try not to get stuck with a generalist consulting through and through average manager as ego can come into play and they may at times give you work you're overqualified for but you're expected to feel grateful for the opportunity . Some Partners aren't generating enough business - don't get tangled in their web, they gift you with lots of low priority/ non client work which may distract you into thinking you're being productive.",partners not generating enough business
54,"Long hours, knowledge expectations and utilisation requirements",long hours
54,"Long hours, knowledge expectations and utilisation requirements",high knowledge expectations
54,"Long hours, knowledge expectations and utilisation requirements",strict utilization requirements
55,Work might be of different than your area of expertise,work outside of area of expertise
56,nothing i can think of really,
57,Long hours but comes with the industry,long hours
58,"Long hours, too much red tape",long hours
58,"Long hours, too much red tape",too much red tape
59,"Low pay, no bonuses, partners keep all the money, very little for the actual consultants on the ground",low pay
59,"Low pay, no bonuses, partners keep all the money, very little for the actual consultants on the ground",no bonuses
59,"Low pay, no bonuses, partners keep all the money, very little for the actual consultants on the ground",unfair compensation distribution
60,"Salary is low. Perpetually. They say there is a bonus, but pre-tax this is UP to £1000 per year. The more vacation you get, the more this gets decreased, to the point where the average consultant gets £700-800 (pre-tax).",low salary
60,"Salary is low. Perpetually. They say there is a bonus, but pre-tax this is UP to £1000 per year. The more vacation you get, the more this gets decreased, to the point where the average consultant gets £700-800 (pre-tax).",insufficient bonus
60,"Salary is low. Perpetually. They say there is a bonus, but pre-tax this is UP to £1000 per year. The more vacation you get, the more this gets decreased, to the point where the average consultant gets £700-800 (pre-tax).",vacation affecting bonus amount
61,"Sometimes long hours, admin, general corporate cons",long working hours
61,"Sometimes long hours, admin, general corporate cons",administrative tasks
61,"Sometimes long hours, admin, general corporate cons",general corporate concerns
62,"Long hours, self discipline needed",long hours
62,"Long hours, self discipline needed",lack of external discipline required
63,long hours and the heavy workload,long hours
63,long hours and the heavy workload,heavy workload
64,"- Very little reward for hard work
- Performance evaluation can be strongly impacted by the ability of your evaluator
- Given the skill of the individuals working here the pay packets are very poor
- Expected to work ridiculous hours with very little to no reward. This is primarily to do with Deloitte over promising on deadlines and expecting the bottom line to deliver.",little reward for hard work
64,"- Very little reward for hard work
- Performance evaluation can be strongly impacted by the ability of your evaluator
- Given the skill of the individuals working here the pay packets are very poor
- Expected to work ridiculous hours with very little to no reward. This is primarily to do with Deloitte over promising on deadlines and expecting the bottom line to deliver.",poor performance evaluation
64,"- Very little reward for hard work
- Performance evaluation can be strongly impacted by the ability of your evaluator
- Given the skill of the individuals working here the pay packets are very poor
- Expected to work ridiculous hours with very little to no reward. This is primarily to do with Deloitte over promising on deadlines and expecting the bottom line to deliver.",low pay
64,"- Very little reward for hard work
- Performance evaluation can be strongly impacted by the ability of your evaluator
- Given the skill of the individuals working here the pay packets are very poor
- Expected to work ridiculous hours with very little to no reward. This is primarily to do with Deloitte over promising on deadlines and expecting the bottom line to deliver.",long hours with little reward
64,"- Very little reward for hard work
- Performance evaluation can be strongly impacted by the ability of your evaluator
- Given the skill of the individuals working here the pay packets are very poor
- Expected to work ridiculous hours with very little to no reward. This is primarily to do with Deloitte over promising on deadlines and expecting the bottom line to deliver.",unrealistic deadlines
65,No cons to date to report,
66,Non existent work life balance,non-existent work-life balance
67,Long hours and boring work,long hours
67,Long hours and boring work,boring work
68,"Lonf hours, no work life balance",long hours
68,"Lonf hours, no work life balance",lack of work-life balance
69,"tick-box exercise as training, internal communication can get quite complex and inefficient",tick-box exercise as training
69,"tick-box exercise as training, internal communication can get quite complex and inefficient",complex and inefficient internal communication
70,Bad process for managing work pipeline,bad process for managing work pipeline
71,Lots of work but thriving,heavy workload
72,"hierarchy is real 
partnership makes it competitive - partners out for their own agenda",hierarchy issues
72,"hierarchy is real 
partnership makes it competitive - partners out for their own agenda",uncooperative partners
73,"Hours
Lack of unity across business areas",long hours
73,"Hours
Lack of unity across business areas",lack of unity across business areas
74,As detailed above. But overall can get very busy,can get very busy
75,Depending on the projects there will be long hours,long hours on certain projects
76,Significant difference across practices which affect individuals' perspectives. Very competitive and continuously challenging environment.,significant difference across practices
76,Significant difference across practices which affect individuals' perspectives. Very competitive and continuously challenging environment.,competitive environment
76,Significant difference across practices which affect individuals' perspectives. Very competitive and continuously challenging environment.,constantly challenging
77,"Toxic culture amongst senior leadership, boys club.",toxic culture amongst senior leadership
77,"Toxic culture amongst senior leadership, boys club.",boys club
78,"It’s very competitive and requires a lot of time and energy, but it’s worth it if you can manage it.",very competitive
78,"It’s very competitive and requires a lot of time and energy, but it’s worth it if you can manage it.",high workload
78,"It’s very competitive and requires a lot of time and energy, but it’s worth it if you can manage it.",high energy demand
79,"long hours, too much admin work",long hours
79,"long hours, too much admin work",too much admin work
80,"Travel depending on role
Very high expectations",very high travel expectations
81,"Long hours, poor bonus, high staff turnover",long hours
81,"Long hours, poor bonus, high staff turnover",poor bonus
81,"Long hours, poor bonus, high staff turnover",high staff turnover
82,The compensation is below market,compensation below market rate
83,Salary is not very competitive,low salary competitiveness
84,Low work life balance f,low work life balance
85,It’s a cut throat industry & you have to perform at 100% always,high performance expectations
85,It’s a cut throat industry & you have to perform at 100% always,constant pressure to perform
86,You're either moving up or being moved out. Not a great place for a long term career.,not a great place for long-term career
87,Pay is relatively low compared to other industries,low relative pay compared to other industries
88,"Poor compensation relative to other big four in normal years (partly driven by Deloitte's regularly claimed highest per partner pay). Exasperated in Covid with no in grade pay rises, and significant reductions to pension contributions and bonuses. Understandable that measures have to be taken but these are in excess of what competitors have done (e.g. PwC). I believe the partners should have borne more of the brunt, given they profit from every good year they should accept the risk of poorer years.",poor compensation
88,"Poor compensation relative to other big four in normal years (partly driven by Deloitte's regularly claimed highest per partner pay). Exasperated in Covid with no in grade pay rises, and significant reductions to pension contributions and bonuses. Understandable that measures have to be taken but these are in excess of what competitors have done (e.g. PwC). I believe the partners should have borne more of the brunt, given they profit from every good year they should accept the risk of poorer years.",excessive cost cutting measures during Covid
88,"Poor compensation relative to other big four in normal years (partly driven by Deloitte's regularly claimed highest per partner pay). Exasperated in Covid with no in grade pay rises, and significant reductions to pension contributions and bonuses. Understandable that measures have to be taken but these are in excess of what competitors have done (e.g. PwC). I believe the partners should have borne more of the brunt, given they profit from every good year they should accept the risk of poorer years.",reduced pension contributions
88,"Poor compensation relative to other big four in normal years (partly driven by Deloitte's regularly claimed highest per partner pay). Exasperated in Covid with no in grade pay rises, and significant reductions to pension contributions and bonuses. Understandable that measures have to be taken but these are in excess of what competitors have done (e.g. PwC). I believe the partners should have borne more of the brunt, given they profit from every good year they should accept the risk of poorer years.",reduced bonuses
