Category: All categories

Month,data analysis: (Worldwide)
2015-02,50
2015-03,56
2015-04,58
2015-05,52
2015-06,45
2015-07,44
2015-08,44
2015-09,53
2015-10,55
2015-11,54
2015-12,45
2016-01,46
2016-02,55
2016-03,56
2016-04,59
2016-05,55
2016-06,45
2016-07,42
2016-08,42
2016-09,52
2016-10,54
2016-11,58
2016-12,47
2017-01,51
2017-02,58
2017-03,65
2017-04,63
2017-05,55
2017-06,48
2017-07,46
2017-08,47
2017-09,54
2017-10,59
2017-11,60
2017-12,51
2018-01,53
2018-02,57
2018-03,60
2018-04,61
2018-05,56
2018-06,48
2018-07,46
2018-08,49
2018-09,58
2018-10,56
2018-11,55
2018-12,48
2019-01,49
2019-02,57
2019-03,61
2019-04,59
2019-05,53
2019-06,47
2019-07,45
2019-08,50
2019-09,59
2019-10,57
2019-11,60
2019-12,49
2020-01,57
2020-02,61
2020-03,53
2020-04,57
2020-05,56
2020-06,51
2020-07,50
2020-08,51
2020-09,61
2020-10,58
2020-11,50
2020-12,50
2021-01,45
2021-02,55
2021-03,58
2021-04,60
2021-05,56
2021-06,59
2021-07,51
2021-08,50
2021-09,56
2021-10,58
2021-11,63
2021-12,57
2022-01,71
2022-02,92
2022-03,100
2022-04,100
2022-05,90
2022-06,85
2022-07,70
2022-08,70
2022-09,84
2022-10,82
2022-11,91
2022-12,81
2023-01,80
2023-02,88
2023-03,88
2023-04,88
2023-05,93
2023-06,82
2023-07,75
2023-08,73
2023-09,84
2023-10,94
2023-11,86
2023-12,78
2024-01,83
2024-02,99
2024-03,92
2024-04,98
2024-05,93
2024-06,79
2024-07,81
2024-08,78
2024-09,85
2024-10,87
2024-11,89
2024-12,78
2025-01,82
2025-02,100
2025-03,95
