from,to,weight
0,1,209.0
0,2,62.0
0,3,12.0
0,4,204.0
0,5,45.0
0,6,41.0
0,7,68.0
0,8,187.0
0,9,42.0
0,10,64.0
0,11,63.0
0,12,17.0
0,13,61.0
0,14,427.0
1,2,5.0
1,3,9.0
1,4,44.0
1,5,41.0
1,6,178.0
1,7,34.0
1,9,27.0
1,10,12.0
1,11,9.0
1,12,23.0
1,13,43.0
1,14,29.0
2,4,103.0
2,5,43.0
2,6,103.0
2,7,8.0
2,8,162.0
2,9,7.0
2,10,4.0
2,11,44.0
2,12,35.0
2,13,5.0
2,14,66.0
3,4,11.0
3,5,5.0
3,6,1.0
3,7,7.0
3,9,15.0
3,11,1.0
3,13,86.0
3,14,7.0
4,5,80.0
4,6,64.0
4,7,23.0
4,9,89.0
4,10,5.0
4,11,90.0
4,12,5.0
4,13,67.0
4,14,49.0
5,6,363.0
5,7,12.0
5,8,2.0
5,9,22.0
5,11,3.0
5,14,16.0
6,7,16.0
6,8,12.0
6,9,13.0
6,11,19.0
6,12,6.0
6,13,3.0
6,14,4.0
7,9,58.0
7,10,28.0
7,11,26.0
7,13,30.0
8,9,71.0
8,10,30.0
8,11,40.0
8,12,1.0
8,13,91.0
9,10,86.0
9,11,92.0
9,12,15.0
9,13,35.0
9,14,102.0
10,11,142.0
10,12,66.0
10,13,39.0
10,14,215.0
11,12,26.0
11,13,57.0
11,14,232.0
12,13,40.0
12,14,47.0
13,14,7.0
