id,cons,pain points,topic_label
0,Poor Compensation and bonus null,poor compensation,Compensation & Benefits
0,Poor Compensation and bonus null,lack of bonuses,Compensation & Benefits
1,A lot of pressure in the job,pressure in the job,"Workload, Stress & Exhaustion"
2,progression is too set in stone,progression is too rigid,Promotion & Succession
2,progression is too set in stone,lack of flexibility in progression,Career Development & Growth Opportunities
3,Poor work life balance and pressures,poor work life balance,Work Life Balance
3,Poor work life balance and pressures,pressures,"Workload, Stress & Exhaustion"
4,"Limit on bonus, not so great pension benefits as compared to other companies",limit on bonus,Compensation & Benefits
4,"Limit on bonus, not so great pension benefits as compared to other companies",poor pension benefits,Compensation & Benefits
5,Progression can be quite strictly regimented,strictly regimented progression,Career Development & Growth Opportunities
6,The pay is relatively low,low pay,Compensation & Benefits
7,"Gruelling path to progression
Long hours and high expectations",grueling path to progression,Career Development & Growth Opportunities
7,"Gruelling path to progression
Long hours and high expectations",long hours,"Workload, Stress & Exhaustion"
7,"Gruelling path to progression
Long hours and high expectations",high expectations,Performance Management
8,"Salary relative to peers, less community",low salary compared to peers,Compensation & Benefits
8,"Salary relative to peers, less community",lack of community,Team Climate
9,Lowest pay on the street,lowest pay,Compensation & Benefits
10,clients can be very rude at times,rude clients,Relationship With Peers & Colleagues
11,Nothing of significance to point out.,,
12,No comment here - not applicable,,
13,Some projects can be very intense with long hours,intense projects with long hours,"Workload, Stress & Exhaustion"
14,It is hard work and might feel like a lot of you are not used to it or not fully engaged,hard work,"Workload, Stress & Exhaustion"
14,It is hard work and might feel like a lot of you are not used to it or not fully engaged,lack of engagement,Company Climate
15,"Lower salaries
Harder to make director/partner than before",lower salaries,Compensation & Benefits
15,"Lower salaries
Harder to make director/partner than before",harder to become director/partner,Career Development & Growth Opportunities
16,Pay could be higher bonus is low,low pay,Compensation & Benefits
16,Pay could be higher bonus is low,low bonus,Compensation & Benefits
17,"- poor salary
- long unpaid overtime 
- people are fake",poor salary,Compensation & Benefits
17,"- poor salary
- long unpaid overtime 
- people are fake",long unpaid overtime,"Workload, Stress & Exhaustion"
17,"- poor salary
- long unpaid overtime 
- people are fake",fake colleagues,Workplace Harassment
18,"No boundaries, impossible expectations on client delivery and practice development",no clear boundaries,Unclear Expectations
18,"No boundaries, impossible expectations on client delivery and practice development",impossible expectations on client delivery,Performance Management
18,"No boundaries, impossible expectations on client delivery and practice development",impossible expectations on practice development,Unclear Expectations
19,"No work life balance
Pay not commensurate with workload",no work life balance,Work Life Balance
19,"No work life balance
Pay not commensurate with workload",low pay for workload,Compensation & Benefits
20,"Promotions for minorities (African Americans) to Senior Middle Management is sparse, however with the recently intensified BLM movement, the DE&I program has been amped up in attempts to correct the disparity.",sparse promotions for African American employees,"Diversity, Equity, and Inclusion"
21,#NAME?,too strict timing,Organization of Work
22,There are none. Great company,,
23,Long hours in busy periods,long hours in busy periods,"Workload, Stress & Exhaustion"
