participant number,astrologicalSign,astrologicalSign_Aquarius,astrologicalSign_Aries,astrologicalSign_Cancer,astrologicalSign_Capricorn,astrologicalSign_Gemini,astrologicalSign_Leo,astrologicalSign_Libra,astrologicalSign_Pisces,astrologicalSign_Sagittarius,astrologicalSign_Scorpio,astrologicalSign_Tauras,astrologicalSign_Virgo,MBTI-style,MBTI-style_E,MBTI-style_S,MBTI-style_T,MBTI-style_J,Big5_E,Big5_O,Big5_A,Big5_C,Big5_N,Enneagram_type,Enneagram_type_1 score,Enneagram_type_2 score,Enneagram_type_3 score,Enneagram_type_4 score,Enneagram_type_5 score,Enneagram_type_6 score,Enneagram_type_7 score,Enneagram_type_8 score,Enneagram_type_9 score,outcome_HomeOwner,outcome_SatisfiedWithLife,outcome_SatisfiedWithWorkLife,outcome_SatisfiedWithRomanticLife,outcome_numberOfTimesHospitalizedInPast5Years,outcome_NumberOfServicesWithFailedPaymentsInPast5Years,outcome_numberOfPeopleWhoWouldHelpThemInEmergency,outcome_BMI,outcome_SatisfiedWithPhysicalHealth,outcome_SatisfiedWithSocialLife,outcome_HoursOfModerateExercisePerWeek,outcome_considersThemselvesReligious,outcome_EmploymentLevel,outcome_numberOfDeepEmotionalConnections,outcome_relationshipSeriousness,outcome_numberOfFeedbacksReceivedInLastYear,outcome_levelOfSuicidality,outcome_numberOfEventsPlannedInLastYear,outcome_numberOfVolunteeringsInLastYear,outcome_numberOfPromotionsInLastFiveYears,outcome_TraumaImpact,outcome_numberOfPaidWorkHoursPerWeek,householdIncomeEstimate,outcome_MeditationMinutesPerDay,outcome_Conservativeness,outcome_highestLevelOfEducation,outcome_age,outcome_femaleAs1MaleAs0,outcome_numberOfMonthsSpentInJailOrPrison,outcome_NumberOfCriminalConvictionsInLast5Years,outcome_numberOfTimesFiredInPast5Years,outcome_DietVeg,outcome_DietMediterranean,outcome_DietLowCarb,hoursOfSleepPerNight,outcome_numberOfTrainingsInLastYear,outcome_numberOfAwardsInLastYear,outcome_TimesOfPhysicalForceWithoutProvocationInLast5Years,outcome_NumberOfCrimesTheyAreVictimOfInLast5Years
1,,,,,,,,,,,,,,ESTP,49,51,59,57,46,51,56,58,56,4,60,50,47,63,57,33,47,67,53,1,3,2,3,0,0,2,21,2,3,3,-3,1,1,0,1,0,0,0,1,0,40,175000,0,-3,2,37,0,0,0,0,0,0,0,8,0,3,0,0
2,,,,,,,,,,,,,,ENFP,57,38,53,59,58,64,68,76,68,3,80,67,77,73,77,77,47,67,73,3,2,3,3,1,3,3,12,3,1,1,0,1,3,4,3,0,3,1,1,1,35,50000,25,-1,7,31,0,0,0,0,0,0,0,7,1,0,0,0
3,,,,,,,,,,,,,,ENFP,69,39,53,52,64,74,75,75,50,3,80,67,77,67,83,73,60,77,67,2,3,3,3,1,2,5,19,2,2,0,2,1,5,4,1,0,5,0,3,0,40,72500,5,0,5,26,1,0,0,0,1,0,0,8,0,1,0,0
4,,,,,,,,,,,,,,ENFP,61,41,52,57,58,63,74,74,75,3,80,60,93,80,80,80,63,60,90,3,3,3,2,0,5,4,23,3,2,1,2,1,1,2,0,0,5,0,1,0,42,50000,5,-3,5,42,1,0,0,0,0,0,0,9,1,0,0,0
5,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ESTP,57,49,68,47,56,67,63,67,69,3,77,60,83,77,80,70,50,77,73,1,2,2,3,1,1,5,15,2,2,2,2,1,4,4,3,1,3,3,0,1,40,72500,5,-2,4,31,0,0,0,0,1,0,0,8,1,1,2,0
6,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ENTP,66,37,57,51,64,63,74,85,65,3,87,73,83,70,83,77,57,80,87,1,3,3,1,3,2,2,21,2,1,3,2,1,2,4,3,1,1,3,1,1,40,50000,25,2,5,52,1,1,2,0,0,0,0,6,2,1,1,1
7,Aries,0,1,0,0,0,0,0,0,0,0,0,0,ENFP,57,42,53,52,58,60,71,63,58,3,63,70,67,70,63,53,50,73,63,3,0,2,2,3,4,25,18,2,2,0,0,1,5,4,3,1,3,3,3,1,40,100000,15,-2,6,32,0,4,2,2,0,0,0,6,1,1,1,3
8,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ESFP,52,48,48,49,49,54,57,61,56,4,67,60,53,70,67,63,57,47,63,2,2,2,2,1,2,6,19,2,2,0,2,1,5,4,0,0,1,1,3,0,52,4500,5,2,2,36,1,0,0,0,0,1,0,8,0,0,0,0
9,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ESFP,59,47,48,60,57,54,63,65,64,3,73,67,70,67,60,63,50,53,73,0,2,2,2,1,2,8,19,2,2,0,2,1,6,4,0,0,0,0,1,0,53,4500,15,-3,2,35,1,0,0,0,1,0,0,8,0,0,0,0
10,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ENFP,53,40,51,51,56,58,61,63,67,4,67,63,63,73,63,67,53,57,73,0,2,3,1,1,1,9,21,1,2,1,2,1,5,4,0,0,3,1,1,0,55,4500,25,-2,2,35,1,0,0,0,0,0,1,9,1,1,0,0
11,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ENTP,62,42,54,58,68,74,63,75,53,3,80,77,73,60,67,70,47,70,73,3,3,-3,3,3,1,10,23,3,2,6,3,1,3,1,0,0,5,3,3,4,36,132500,45,3,5,26,0,0,0,0,0,0,0,9,2,5,1,1
12,Libra,0,0,0,0,0,0,1,0,0,0,0,0,ENTP,67,32,56,61,69,76,74,88,74,3,90,77,97,73,93,87,57,73,77,2,3,3,3,3,20,10,11,3,3,0,3,1,2,4,1,0,3,3,1,1,50,72500,15,-3,5,30,1,0,0,1,0,1,0,8,0,0,0,0
13,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,INTP,34,40,66,61,25,71,44,86,46,1,97,53,43,27,80,60,50,47,77,0,1,2,1,0,2,1,23,2,-1,0,-1,1,1,4,5,0,0,0,1,0,40,32500,0,1,5,33,0,0,0,0,0,0,0,6,0,0,0,0
14,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ESFP,62,49,47,54,64,65,65,67,50,6,73,63,73,80,73,87,50,63,70,1,2,2,2,1,3,6,23,2,2,2,2,1,2,4,3,0,3,3,1,1,35,100000,15,-1,5,33,1,4,1,0,0,0,0,6,1,0,2,1
15,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ENTP,58,43,57,56,60,64,63,68,72,6,70,67,70,70,80,80,53,73,73,2,2,2,2,1,2,3,10,2,1,1,2,1,4,4,1,1,1,1,3,2,5,50000,15,-1,5,25,1,9,3,3,1,0,0,8,2,1,2,2
16,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ENTP,47,39,54,48,46,57,51,63,71,4,60,43,53,77,83,63,67,53,47,2,-2,-2,2,5,3,3,14,1,2,6,-2,1,3,1,5,2,3,3,3,3,8,132500,5,-1,6,25,1,0,0,0,1,0,0,8,2,3,1,0
17,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ESTP,50,44,56,53,56,49,61,71,76,4,73,60,70,73,60,73,43,57,60,2,2,2,1,3,0,2,4,2,1,0,1,1,2,4,1,2,1,3,3,2,55,32500,15,-1,5,30,0,4,0,1,1,0,0,6,1,1,2,0
18,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ESTP,61,44,56,54,63,61,69,71,71,4,70,63,73,80,73,73,60,60,73,1,3,3,3,1,3,2,17,2,1,1,1,1,10,1,1,1,1,1,1,2,30,50000,5,-2,5,25,1,0,2,0,0,0,1,7,1,1,0,2
19,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ENTP,64,40,57,50,67,69,76,82,82,4,80,63,83,87,87,80,57,80,83,1,3,2,2,1,2,2,21,2,2,6,2,1,2,4,3,1,3,1,1,1,40,50000,25,2,5,52,1,1,2,0,0,0,1,6,2,1,1,1
20,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ESTP,63,44,57,53,69,63,68,85,69,4,90,73,87,87,77,87,60,63,73,2,2,3,3,3,1,10,17,3,2,6,2,1,5,0,3,1,3,3,1,2,5,132500,25,2,5,26,0,0,0,1,1,0,0,8,1,3,1,2
21,Aries,0,1,0,0,0,0,0,0,0,0,0,0,ESTJ,52,48,57,64,61,75,60,72,58,4,73,67,77,77,80,70,43,47,73,3,1,1,1,5,5,4,18,0,1,1,1,1,4,4,1,3,1,3,3,2,40,100000,15,-2,6,32,0,9,4,6,0,0,0,8,2,3,2,2
22,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ENTP,60,38,54,59,61,69,75,79,74,4,83,70,77,87,83,80,50,73,80,1,1,2,3,1,0,4,5,2,1,0,2,1,1,4,1,2,1,1,3,2,4,32500,5,-2,5,30,0,4,0,0,0,1,0,5,1,1,1,0
23,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ENTP,66,39,56,56,69,60,63,64,69,4,60,77,90,87,77,77,57,77,77,2,3,2,3,1,1,10,17,2,2,6,2,1,5,0,3,0,3,0,1,0,38,132500,15,2,5,26,0,9,0,1,0,0,0,8,1,1,1,0
24,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ENTP,64,42,56,62,72,72,67,83,28,3,90,67,93,60,87,70,57,70,57,2,3,2,3,1,1,1,23,3,2,1,3,1,1,3,3,0,1,3,0,1,50,32500,5,-1,5,29,0,0,0,0,0,0,0,8,1,3,2,1
25,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ENTP,54,43,57,56,61,63,64,69,67,4,67,60,57,70,77,67,47,67,73,2,1,3,2,0,2,5,17,2,0,0,2,1,1,4,0,1,1,1,1,0,3,100000,5,0,6,26,1,0,0,0,1,0,0,8,2,1,1,0
26,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ENTP,60,40,61,61,61,63,72,78,75,3,80,77,90,77,80,83,47,77,87,2,2,2,1,1,0,0,5,2,1,1,2,1,1,4,1,0,0,1,1,1,1,132500,5,-1,5,30,0,4,4,0,0,1,0,4,1,1,1,4
27,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ENTP,60,41,56,54,60,81,72,64,36,3,63,67,80,73,83,57,50,60,63,3,3,3,3,1,6,3,24,2,2,2,3,1,3,4,1,3,3,3,3,3,48,72500,25,-3,6,43,0,24,3,0,1,0,0,8,2,3,2,1
28,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ESFP,58,46,51,50,58,58,64,64,39,3,60,67,63,53,63,60,37,63,60,2,2,2,3,0,0,10,29,3,2,6,1,1,10,3,3,0,1,1,3,0,55,225000,0,1,5,25,0,0,0,0,0,0,0,7,0,1,1,0
29,Aries,0,1,0,0,0,0,0,0,0,0,0,0,ENFP,66,39,50,61,65,71,72,79,49,3,83,73,70,60,77,73,53,70,70,2,2,2,3,1,2,5,23,2,2,0,3,1,2,4,1,0,1,1,1,0,40,72500,5,0,5,26,1,0,0,0,0,0,0,8,1,1,0,0
30,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ENTP,76,38,56,62,71,76,76,88,26,6,87,67,67,57,80,87,70,67,80,0,3,2,2,3,2,5,20,2,2,0,3,1,3,4,1,0,1,3,1,1,30,100000,25,-3,5,25,0,0,2,0,0,0,0,8,1,1,1,1
31,,,,,,,,,,,,,,ESFP,67,48,50,50,67,58,60,63,50,3,47,57,53,60,37,60,60,50,63,2,1,1,2,3,0,3,22,1,1,3,2,1,2,4,3,0,3,3,1,1,42,72500,15,-1,5,49,0,0,0,0,0,0,0,8,2,1,0,0
32,,,,,,,,,,,,,,ESTP,53,53,64,52,63,50,49,53,50,4,63,47,43,77,77,63,53,57,50,0,1,3,2,0,2,3,13,3,2,0,3,1,3,0,1,1,0,1,0,3,48,50000,5,-1,5,32,0,0,0,3,0,0,1,5,1,0,2,0
