Category: All categories

Month,causal analysis: (Worldwide)
2015-02,62
2015-03,56
2015-04,52
2015-05,46
2015-06,43
2015-07,40
2015-08,40
2015-09,55
2015-10,63
2015-11,59
2015-12,42
2016-01,34
2016-02,63
2016-03,56
2016-04,50
2016-05,43
2016-06,36
2016-07,36
2016-08,32
2016-09,48
2016-10,60
2016-11,51
2016-12,40
2017-01,45
2017-02,60
2017-03,60
2017-04,43
2017-05,42
2017-06,32
2017-07,32
2017-08,29
2017-09,48
2017-10,55
2017-11,51
2017-12,35
2018-01,41
2018-02,53
2018-03,47
2018-04,49
2018-05,43
2018-06,34
2018-07,34
2018-08,30
2018-09,44
2018-10,58
2018-11,56
2018-12,34
2019-01,35
2019-02,48
2019-03,50
2019-04,47
2019-05,41
2019-06,33
2019-07,32
2019-08,28
2019-09,45
2019-10,50
2019-11,53
2019-12,39
2020-01,40
2020-02,54
2020-03,44
2020-04,54
2020-05,49
2020-06,44
2020-07,40
2020-08,37
2020-09,55
2020-10,59
2020-11,45
2020-12,44
2021-01,37
2021-02,47
2021-03,54
2021-04,53
2021-05,47
2021-06,49
2021-07,35
2021-08,34
2021-09,48
2021-10,61
2021-11,54
2021-12,49
2022-01,62
2022-02,77
2022-03,99
2022-04,79
2022-05,78
2022-06,62
2022-07,44
2022-08,53
2022-09,72
2022-10,75
2022-11,72
2022-12,62
2023-01,66
2023-02,87
2023-03,76
2023-04,75
2023-05,69
2023-06,61
2023-07,56
2023-08,54
2023-09,73
2023-10,75
2023-11,76
2023-12,56
2024-01,66
2024-02,81
2024-03,73
2024-04,79
2024-05,73
2024-06,73
2024-07,62
2024-08,67
2024-09,85
2024-10,96
2024-11,85
2024-12,71
2025-01,78
2025-02,100
2025-03,87
