Category: All categories

Month,causal inference: (Worldwide)
2015-02,23
2015-03,24
2015-04,26
2015-05,19
2015-06,16
2015-07,17
2015-08,16
2015-09,25
2015-10,22
2015-11,21
2015-12,16
2016-01,20
2016-02,23
2016-03,25
2016-04,23
2016-05,23
2016-06,17
2016-07,13
2016-08,20
2016-09,25
2016-10,24
2016-11,24
2016-12,20
2017-01,24
2017-02,28
2017-03,32
2017-04,27
2017-05,23
2017-06,19
2017-07,17
2017-08,19
2017-09,27
2017-10,28
2017-11,29
2017-12,23
2018-01,30
2018-02,33
2018-03,32
2018-04,30
2018-05,31
2018-06,30
2018-07,23
2018-08,29
2018-09,34
2018-10,35
2018-11,35
2018-12,31
2019-01,31
2019-02,36
2019-03,36
2019-04,38
2019-05,34
2019-06,37
2019-07,31
2019-08,34
2019-09,41
2019-10,40
2019-11,44
2019-12,33
2020-01,39
2020-02,43
2020-03,34
2020-04,39
2020-05,38
2020-06,39
2020-07,38
2020-08,36
2020-09,46
2020-10,36
2020-11,33
2020-12,30
2021-01,30
2021-02,36
2021-03,38
2021-04,37
2021-05,34
2021-06,32
2021-07,32
2021-08,29
2021-09,40
2021-10,47
2021-11,45
2021-12,39
2022-01,56
2022-02,64
2022-03,68
2022-04,71
2022-05,65
2022-06,60
2022-07,53
2022-08,57
2022-09,70
2022-10,73
2022-11,69
2022-12,59
2023-01,66
2023-02,76
2023-03,72
2023-04,63
2023-05,66
2023-06,65
2023-07,59
2023-08,62
2023-09,82
2023-10,73
2023-11,74
2023-12,67
2024-01,69
2024-02,83
2024-03,85
2024-04,88
2024-05,75
2024-06,74
2024-07,73
2024-08,72
2024-09,93
2024-10,93
2024-11,86
2024-12,79
2025-01,87
2025-02,100
2025-03,93
