"industry","topic","post_covid_score","name","description"
"Industrials","Work-life balance",-0.066430491,"3M","Industrial conglomerate known for innovation"
"Industrials","Transparency",-0.475452788,"3M","Industrial conglomerate known for innovation"
"Industrials","Toxic culture",-0.208192446,"3M","Industrial conglomerate known for innovation"
"Industrials","Supportive culture",-0.041766744,"3M","Industrial conglomerate known for innovation"
"Industrials","Strategy",-1.979745633,"3M","Industrial conglomerate known for innovation"
"Industrials","Leadership",-0.680374267,"3M","Industrial conglomerate known for innovation"
"Industrials","Innovation",0.09244682,"3M","Industrial conglomerate known for innovation"
"Industrials","Open to feedback",-0.621825476,"3M","Industrial conglomerate known for innovation"
"Industrials","Agility",-1.034820942,"3M","Industrial conglomerate known for innovation"
"Grocery Stores","Work-life balance",-0.259798401,"7-Eleven","Global convenience store chain"
"Grocery Stores","Transparency",NA,"7-Eleven","Global convenience store chain"
"Grocery Stores","Toxic culture",0.025971506,"7-Eleven","Global convenience store chain"
"Grocery Stores","Supportive culture",-0.6990403,"7-Eleven","Global convenience store chain"
"Grocery Stores","Strategy",NA,"7-Eleven","Global convenience store chain"
"Grocery Stores","Leadership",0.215904289,"7-Eleven","Global convenience store chain"
"Grocery Stores","Innovation",NA,"7-Eleven","Global convenience store chain"
"Grocery Stores","Open to feedback",NA,"7-Eleven","Global convenience store chain"
"Grocery Stores","Agility",NA,"7-Eleven","Global convenience store chain"
"Restaurants & Fast Food","Work-life balance",0.610936578,"A&W Restaurants","Fast-food chain known for root beer"
"Restaurants & Fast Food","Transparency",NA,"A&W Restaurants","Fast-food chain known for root beer"
"Restaurants & Fast Food","Toxic culture",1.349883077,"A&W Restaurants","Fast-food chain known for root beer"
"Restaurants & Fast Food","Supportive culture",2.308311649,"A&W Restaurants","Fast-food chain known for root beer"
"Restaurants & Fast Food","Strategy",NA,"A&W Restaurants","Fast-food chain known for root beer"
"Restaurants & Fast Food","Leadership",1.878193433,"A&W Restaurants","Fast-food chain known for root beer"
"Restaurants & Fast Food","Innovation",NA,"A&W Restaurants","Fast-food chain known for root beer"
"Restaurants & Fast Food","Open to feedback",NA,"A&W Restaurants","Fast-food chain known for root beer"
"Restaurants & Fast Food","Agility",NA,"A&W Restaurants","Fast-food chain known for root beer"
"Consumer Products","Work-life balance",-0.921735902,"AB InBev","World's largest beer producer"
"Consumer Products","Transparency",-0.144622154,"AB InBev","World's largest beer producer"
"Consumer Products","Toxic culture",-1.210834059,"AB InBev","World's largest beer producer"
"Consumer Products","Supportive culture",0.0827137,"AB InBev","World's largest beer producer"
"Consumer Products","Strategy",-0.401477903,"AB InBev","World's largest beer producer"
"Consumer Products","Leadership",-0.187719793,"AB InBev","World's largest beer producer"
"Consumer Products","Innovation",NA,"AB InBev","World's largest beer producer"
"Consumer Products","Open to feedback",-1.326305311,"AB InBev","World's largest beer producer"
"Consumer Products","Agility",0.200843695,"AB InBev","World's largest beer producer"
"Industrials","Work-life balance",0.319941254,"ABB","Automation and robotics"
"Industrials","Transparency",0.542802428,"ABB","Automation and robotics"
"Industrials","Toxic culture",0.969496092,"ABB","Automation and robotics"
"Industrials","Supportive culture",1.566900491,"ABB","Automation and robotics"
"Industrials","Strategy",0.094106262,"ABB","Automation and robotics"
"Industrials","Leadership",0.792155479,"ABB","Automation and robotics"
"Industrials","Innovation",-0.237650218,"ABB","Automation and robotics"
"Industrials","Open to feedback",0.67948563,"ABB","Automation and robotics"
"Industrials","Agility",-0.381309845,"ABB","Automation and robotics"
"Life Sciences & Biopharma","Work-life balance",-0.899724724,"Abbott","Healthcare and diagnostics company"
"Life Sciences & Biopharma","Transparency",0.043727505,"Abbott","Healthcare and diagnostics company"
"Life Sciences & Biopharma","Toxic culture",-1.068616318,"Abbott","Healthcare and diagnostics company"
"Life Sciences & Biopharma","Supportive culture",-1.007490178,"Abbott","Healthcare and diagnostics company"
"Life Sciences & Biopharma","Strategy",0.621015897,"Abbott","Healthcare and diagnostics company"
